id,adj.P.Val.SCoV2.over.RMRP,Log.P.Value.SCoV2.over.RMRP,logFC.SCoV2.over.RMRP,P.Value.SCoV2.over.RMRP,RMRP rep2 ratio,RMRP rep1 ratio,SCoV2 rep2 ratio,SCoV2 rep1 ratio,accession_number,geneSymbol,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,totalIntensity,entry_name
NP_009176.2,0.05341134452,20.05632202,1.130257559,0.009871151065,-0.527673352,0.000612273,1.102938719,0.63051532,NP_009176.2,ATXN2L,5,5,5,NP_009176.2|NP_001295159.1|NP_059867.3|NP_663760.1|NP_680780.1|NP_680781.1|NP_680782.1,HOMO SAPIENS,4.3,154,154.1,63.56,63.56,9.55E+07, ataxin-2-like protein isoform A GN=ATXN2L
NP_003925.1,0.05213728434,20.36424012,1.126257559,0.009195513537,-0.589673352,-0.032387727,0.937938719,0.69251532,NP_003925.1,FUBP3,17,12,12,NP_003925.1,HOMO SAPIENS,20.9,57,57.1,162.04,162.04,5.32E+08, far upstream element-binding protein 3 GN=FUBP3
NP_006796.1,0.06508020843,18.45715057,1.097757559,0.01426543251,-0.602673352,0.146612273,1.120938719,0.61851532,NP_006796.1,HNRNPA0,4,2,2,NP_006796.1,HOMO SAPIENS,6.5,347,347.1,29.26,29.26,5.13E+08, heterogeneous nuclear ribonucleoprotein A0 GN=HNRNPA0
NP_001020.2,0.05213728434,20.33285331,1.096757559,0.009262210971,-0.092673352,-0.015387727,1.239938719,0.84551532,NP_001020.2,RPS26,2,2,2,NP_001020.2,HOMO SAPIENS,20.8,343,343.1,29.67,29.67,2.52E+08, 40S ribosomal protein S26 GN=RPS26
NP_066953.1,0.05192953095,20.57126902,1.096257559,0.008767445968,-0.031673352,0.159612273,1.048938719,1.27151532,NP_066953.1,PPIA,27,13,13,NP_066953.1|NP_001287910.1,HOMO SAPIENS,56.3,46,46.1,180.46,180.46,4.08E+09, peptidyl-prolyl cis-trans isomerase A isoform 1 GN=PPIA
NP_000998.1,0.05213728434,20.42618496,1.096257559,0.009065285871,-0.176673352,0.151612273,1.009938719,1.15751532,NP_000998.1,RPS4X,3,3,3,NP_000998.1|NP_000999.1|NP_001034656.1,HOMO SAPIENS,9.5,260,260.1,39.4,39.4,1.62E+07," 40S ribosomal protein S4, X isoform GN=RPS4X"
NP_004490.2,0.0535724668,19.90766381,1.095257559,0.01021488823,-0.029673352,0.072612273,1.377938719,0.85551532,NP_004490.2,HNRNPAB,1,2,1,NP_004490.2|NP_112556.2,HOMO SAPIENS,8.4,225,225.3,27.59,17.5,4.09E+06, heterogeneous nuclear ribonucleoprotein A/B isoform b GN=HNRNPAB
NP_001006.1,0.05540921781,19.53747682,1.094757559,0.01112377814,-0.331673352,-0.022387727,1.193938719,0.64151532,NP_001006.1,RPS11,10,5,5,NP_001006.1,HOMO SAPIENS,25.3,137,137.1,72.34,72.34,6.66E+08, 40S ribosomal protein S11 GN=RPS11
NP_006537.3,0.0535724668,19.8780898,1.094257559,0.0102846856,-0.394673352,-0.134387727,1.062938719,0.59651532,NP_006537.3,IGF2BP1,35,20,19,NP_006537.3|NP_001153895.1,HOMO SAPIENS,36,30,30.1,285.78,274.36,3.84E+09, insulin-like growth factor 2 mRNA-binding protein 1 isoform 1 GN=IGF2BP1
smORF_G043944,0.05341134452,20.13472635,1.088757559,0.009694543534,-0.296673352,-0.438387727,0.531938719,0.91051532,smORF_G043944,,3,2,2,smORF_G043944,smORFeomeHuman,8.6,364,364.1,28.15,28.15,2.13E+07,LINC01873 lncRNA
NP_001952.1,0.06024118884,19.02593886,1.088257559,0.01251428708,-0.559673352,0.047612273,1.029938719,0.63451532,NP_001952.1,EEF2,29,19,19,NP_001952.1|NP_001136077.1|NP_001245282.1|NP_001245283.1,HOMO SAPIENS,21,33,33.1,240.11,240.11,2.08E+09, elongation factor 2 GN=EEF2
NP_000692.2,0.05540921781,19.51054291,1.085757559,0.01119297953,-0.118673352,0.097612273,1.345938719,0.80451532,NP_000692.2,ATP1A1,7,5,5,NP_000692.2|NP_001153705.1|NP_001153706.1|NP_000693.1|NP_000695.2|NP_001243142.1|NP_001243143.1|NP_689509.1,HOMO SAPIENS,5.7,107,107.1,98.24,98.24,8.67E+07, sodium/potassium-transporting ATPase subunit alpha-1 isoform a GN=ATP1A1
NP_001309179.1,0.06429427929,18.57075582,1.073757559,0.01389710754,-0.271673352,-0.158387727,1.231938719,0.48551532,NP_001309179.1,MSI2,7,5,5,NP_001309179.1|NP_001309180.1|NP_620412.1|NP_733839.1|NP_002433.1,HOMO SAPIENS,19.4,184,184.1,55.8,55.8,6.10E+08, RNA-binding protein Musashi homolog 2 isoform c GN=MSI2
YP_009742617.1,0.07184427825,17.80462131,1.058257559,0.01657821886,-0.798673352,0.000612273,0.509938719,0.80851532,YP_009742617.1,nsp10,3,2,2,YP_009742617.1,SARSCOV2_NC_045512.2,10.7,576,576.1,15.87,15.87,2.31E+07, mat_peptide:nsp10:ORF1a_polyprotein:ORF1ab:GN=nsp10
NP_001018077.1,0.06508020843,18.48068286,1.054757559,0.01418834416,0.549326648,0.003612273,1.523938719,1.13851532,NP_001018077.1,SERBP1,9,7,7,NP_001018077.1|NP_001018078.1|NP_001018079.1|NP_056455.3,HOMO SAPIENS,16.6,104,104.1,103.55,103.55,3.57E+08, plasminogen activator inhibitor 1 RNA-binding protein isoform 1 GN=SERBP1
NP_001007.2,0.07184427825,17.7692267,1.030257559,0.01671388192,-0.801673352,-0.127387727,0.673938719,0.45751532,NP_001007.2,RPS12,5,3,3,NP_001007.2,HOMO SAPIENS,30.3,213,213.1,47.67,47.67,1.68E+08, 40S ribosomal protein S12 GN=RPS12
NP_001122383.1,0.07319623821,17.61882717,1.028757559,0.01730283568,-0.484673352,0.150612273,1.049938719,0.67351532,NP_001122383.1,PCBP2,18,10,5,NP_001122383.1|NP_001122384.1|NP_005007.2|NP_114366.1|NP_001092090.1|NP_001122385.1|NP_001122386.1|NP_001123613.1|NP_001335167.1|NP_001335168.1|NP_001335169.1|NP_001335170.1|NP_001335171.1|NP_001335172.1|NP_001335173.1|NP_001335174.1|NP_065389.2,HOMO SAPIENS,32.3,52,52.1,167.15,85.84,1.77E+09, poly(rC)-binding protein 2 isoform d GN=PCBP2
NP_886553.3,0.06032330361,18.99017449,1.025257559,0.01261776838,-0.242673352,-0.036387727,0.897938719,0.87351532,NP_886553.3,EIF4G1,14,13,1,NP_886553.3|NP_004944.3,HOMO SAPIENS,7.6,68,68.1,147,13.08,3.17E+09, eukaryotic translation initiation factor 4 gamma 1 isoform 1 GN=EIF4G1
NP_005989.3,0.06593227678,18.37236629,1.018257559,0.01454666278,-0.314673352,0.119612273,0.905938719,0.93551532,NP_005989.3,CCT3,2,2,2,NP_005989.3,HOMO SAPIENS,3.3,406,406.1,25.31,25.31,1.60E+07, T-complex protein 1 subunit gamma isoform a GN=CCT3
NP_000973.2,0.06666257295,18.24073698,1.011757559,0.01499430366,-0.394673352,0.005612273,0.890938719,0.74351532,NP_000973.2,RPL21,2,2,2,NP_000973.2,HOMO SAPIENS,5,485,485.1,20.94,20.94,5.04E+07, 60S ribosomal protein L21 GN=RPL21
NP_000032.1,0.08044519769,17.13046018,0.991257559,0.01936216792,-0.325673352,0.234612273,1.098938719,0.79251532,NP_000032.1,APOE,2,2,2,NP_000032.1|NP_001289617.1,HOMO SAPIENS,5.6,368,368.1,28.04,28.04,4.56E+07, apolipoprotein E isoform b precursor GN=APOE
NP_001333828.1,0.1457591667,13.14731561,0.990757559,0.04844717287,-1.255673352,0.038612273,0.271938719,0.49251532,NP_001333828.1,EGFR,2,2,2,NP_001333828.1|NP_001333829.1|NP_001333870.1|NP_005219.2,HOMO SAPIENS,1.8,530,530.1,17.97,17.97,8.43E+06, epidermal growth factor receptor isoform g precursor GN=EGFR
NP_000958.1,0.07747375621,17.34592722,0.980757559,0.01842499073,-0.472673352,0.011612273,0.714938719,0.78551532,NP_000958.1,RPL3,17,11,11,NP_000958.1|NP_001029025.1,HOMO SAPIENS,23,81,81.1,127.56,127.56,1.04E+09, 60S ribosomal protein L3 isoform a GN=RPL3
NP_000971.1,0.09803935028,15.80613392,0.966257559,0.02626555659,-0.972673352,-0.132387727,0.468938719,0.35851532,NP_000971.1,RPL18A,6,4,4,NP_000971.1,HOMO SAPIENS,21,183,183.1,56.25,56.25,2.68E+08, 60S ribosomal protein L18a GN=RPL18A
NP_001393.1,0.09122883518,16.33303291,0.965757559,0.02326465998,-0.019673352,0.085612273,1.345938719,0.65151532,NP_001393.1,EEF1A1,43,13,13,NP_001393.1|NP_001949.1,HOMO SAPIENS,35,47,47.1,174.02,174.02,1.34E+10, elongation factor 1-alpha 1 GN=EEF1A1
NP_001032897.1,0.08622323847,16.6543272,0.951257559,0.02160564717,-0.343673352,-0.246387727,0.896938719,0.41551532,NP_001032897.1,EIF3C,16,13,13,NP_001032897.1|NP_001093131.1|NP_001273407.1,HOMO SAPIENS,15.3,50,50.1,167.74,167.74,6.84E+08, eukaryotic translation initiation factor 3 subunit C isoform a GN=EIF3C
YP_009742608.1,0.1070051493,15.28893436,0.948257559,0.02958738369,-0.838673352,0.024612273,0.454938719,0.62751532,YP_009742608.1,nsp1,1,1,1,YP_009742608.1,SARSCOV2_NC_045512.2,6.6,631,631.1,14.15,14.15,1.44E+06, mat_peptide:leader_protein:ORF1a_polyprotein:ORF1ab:GN=nsp1
NP_000982.2,0.08719912577,16.57830624,0.947257559,0.02198717211,-0.411673352,0.059612273,0.827938719,0.71451532,NP_000982.2,RPL28,6,5,5,NP_000982.2|NP_001129606.1|NP_001129607.1|NP_001350626.1|NP_001129608.1|NP_001129609.1,HOMO SAPIENS,32.1,151,151.1,66.02,66.02,8.54E+07, 60S ribosomal protein L28 isoform 2 GN=RPL28
NP_000964.1,0.09262460178,16.21856564,0.917257559,0.02388600046,-0.071673352,-0.025387727,1.031938719,0.70551532,NP_000964.1,RPL8,4,3,3,NP_000964.1,HOMO SAPIENS,10.1,246,246.1,42.28,42.28,1.12E+08, 60S ribosomal protein L8 GN=RPL8
NP_001120668.1,0.1028526737,15.5060647,0.915257559,0.02814449953,-0.435673352,-0.047387727,0.440938719,0.90651532,NP_001120668.1,CNBP,11,9,1,NP_001120668.1|NP_003409.1|NP_001120664.1|NP_001120666.1,HOMO SAPIENS,54.1,79,79.1,130.64,21.89,9.27E+08, cellular nucleic acid-binding protein isoform 6 GN=CNBP
NP_001091.1,0.1103311963,15.06690869,0.904257559,0.03113932043,-0.342673352,0.134612273,1.034938719,0.56551532,NP_001091.1,ACTA1,1,12,1,NP_001091.1|NP_001135417.1|NP_001606.1|NP_005150.1,HOMO SAPIENS,27.5,28,28.2,186.58,10.06,7.47E+06," actin, alpha skeletal muscle GN=ACTA1"
NP_005013.1,0.09880671735,15.74911102,0.900257559,0.02661269751,-0.112673352,0.017612273,1.024938719,0.68051532,NP_005013.1,PFN1,14,5,5,NP_005013.1,HOMO SAPIENS,34.2,115,115.1,91.94,91.94,3.97E+08, profilin-1 GN=PFN1
YP_009742610.1,0.1238276936,14.16583888,0.886757559,0.03831917165,-0.827673352,-0.017387727,0.545938719,0.38251532,YP_009742610.1,nsp3,4,4,4,YP_009742610.1,SARSCOV2_NC_045512.2,1.6,317,317.1,33.44,33.44,9.90E+07, mat_peptide:nsp3:ORF1a_polyprotein:ORF1ab:GN=nsp3
NP_112533.1,0.1112724553,14.9426979,0.876257559,0.03204278163,-0.158673352,0.190612273,1.060938719,0.72351532,NP_112533.1,HNRNPA2B1,27,12,10,NP_112533.1|NP_002128.1,HOMO SAPIENS,39,51,51.1,167.16,149.99,1.67E+09, heterogeneous nuclear ribonucleoproteins A2/B1 isoform B1 GN=HNRNPA2B1
NP_002558.1,0.1280788254,13.90025112,0.875257559,0.04073567225,-0.783673352,-0.053387727,0.256938719,0.65651532,NP_002558.1,PEBP1,4,2,2,NP_002558.1,HOMO SAPIENS,8.5,467,467.1,21.76,21.76,1.04E+08, phosphatidylethanolamine-binding protein 1 GN=PEBP1
NP_006139.1,0.110867684,15.00495206,0.871257559,0.03158673915,0.256326648,0.056612273,1.203938719,0.85151532,NP_006139.1,LASP1,7,7,7,NP_006139.1|NP_001258537.1,HOMO SAPIENS,29.8,122,122.1,86.27,86.27,2.28E+08, LIM and SH3 domain protein 1 isoform a GN=LASP1
NP_001264152.1,0.1108844839,14.97954648,0.855257559,0.03177205842,-0.247673352,-0.088387727,0.709938719,0.66451532,NP_001264152.1,TAGLN2,9,4,4,NP_001264152.1|NP_001264153.1|NP_001008273.1,HOMO SAPIENS,22.1,196,196.1,52.97,52.97,1.86E+08, transgelin-2 isoform b GN=TAGLN2
ORFN.iORF1,0.1157052757,14.70872094,0.844757559,0.03381644162,-0.146673352,-0.169387727,0.782938719,0.59051532,ORFN.iORF1,,4,4,4,ORFN.iORF1|ORFN.iORF2,Stern_Ginossar_RP,52.5,177,177.1,58.18,58.18,2.72E+08,NC_045512.2
NP_000992.1,0.1214009913,14.33961602,0.826757559,0.03681615235,-0.226673352,-0.094387727,0.673938719,0.65851532,NP_000992.1,RPL36AL,2,2,2,NP_000992.1|NP_001186902.1|NP_066357.2,HOMO SAPIENS,16,499,499.1,20.06,20.06,2.80E+07, 60S ribosomal protein L36a-like GN=RPL36AL
NP_001243820.1,0.1543016252,12.86269065,0.798257559,0.05172862507,-0.299673352,0.308612273,0.874938719,0.73051532,NP_001243820.1,SRI,2,2,2,NP_001243820.1|NP_001243821.1|NP_003121.1|NP_944490.1,HOMO SAPIENS,9.2,367,367.1,28.11,28.11,2.86E+08, sorcin isoform C GN=SRI
NP_057175.1,0.1564524226,12.74724784,0.796757559,0.05312209764,-0.162673352,0.016612273,1.039938719,0.40751532,NP_057175.1,EIF3L,6,5,5,NP_057175.1|NP_001229852.1|NP_001350714.1,HOMO SAPIENS,7,147,147.1,66.35,66.35,1.49E+08, eukaryotic translation initiation factor 3 subunit L isoform 1 GN=EIF3L
NP_001092.1,0.1423507324,13.26883737,0.796257559,0.04711034266,-0.192673352,0.116612273,0.901938719,0.61451532,NP_001092.1,ACTB,49,18,7,NP_001092.1|NP_001186883.1|NP_001186822.1|NP_001017992.1|NP_001077007.1|NP_001093241.1|NP_001264012.1|NP_001264335.1,HOMO SAPIENS,49,28,28.1,289.01,112.49,1.03E+10," actin, cytoplasmic 1 GN=ACTB"
NP_001123478.1,0.1659475411,12.40069235,0.782757559,0.05753482085,-0.739673352,-0.069387727,0.418938719,0.33751532,NP_001123478.1,GSPT1,6,5,5,NP_001123478.1|NP_002085.2|NP_001123479.1|NP_060564.2,HOMO SAPIENS,6.6,148,148.1,66.3,66.3,4.74E+07, eukaryotic peptide chain release factor GTP-binding subunit ERF3A isoform 2 GN=GSPT1
NP_005745.1,0.155303765,12.8062707,0.779257559,0.05240502474,-0.270673352,-0.075387727,0.817938719,0.39451532,NP_005745.1,G3BP1,32,12,12,NP_005745.1,HOMO SAPIENS,31.7,49,49.1,170.03,170.03,3.55E+09, ras GTPase-activating protein-binding protein 1 GN=G3BP1
NP_001108628.1,0.1680080462,12.32919068,0.757757559,0.0584899072,-0.102673352,-0.041387727,0.917938719,0.45351532,NP_001108628.1,GDI2,4,4,4,NP_001108628.1|NP_001485.2,HOMO SAPIENS,9.5,220,220.1,46.39,46.39,5.50E+07, rab GDP dissociation inhibitor beta isoform 2 GN=GDI2
NP_001005335.1,0.1567205367,12.72152555,0.757757559,0.0534376615,-0.386673352,-0.358387727,0.475938719,0.29451532,NP_001005335.1,HNRNPL,4,2,2,NP_001005335.1|NP_001524.2,HOMO SAPIENS,4.3,336,336.1,30.65,30.65,9.32E+07, heterogeneous nuclear ribonucleoprotein L isoform b GN=HNRNPL
NP_001092104.1,0.1797748512,11.96429531,0.741257559,0.06361660208,-0.056673352,-0.082387727,0.906938719,0.43651532,NP_001092104.1,RBM47,17,8,6,NP_001092104.1|NP_061900.2,HOMO SAPIENS,16.3,44,44.2,121.76,91.94,6.25E+08, RNA-binding protein 47 isoform a GN=RBM47
NP_001129171.1,0.1832588666,11.80341534,0.740757559,0.06601740758,0.167326648,-0.204387727,0.922938719,0.52151532,NP_001129171.1,YWHAZ,3,3,2,NP_001129171.1,HOMO SAPIENS,12.6,186,186.3,43.35,28.63,1.53E+08, 14-3-3 protein zeta/delta GN=YWHAZ
NP_001016.1,0.2275283046,10.36020489,0.731757559,0.09204061471,-0.960673352,0.044612273,0.154938719,0.39251532,NP_001016.1,RPS23,7,4,4,NP_001016.1,HOMO SAPIENS,25.1,193,193.1,53.38,53.38,5.64E+08, 40S ribosomal protein S23 GN=RPS23
NP_000166.2,0.1816700191,11.9012048,0.727757559,0.06454751395,0.094326648,0.062612273,0.967938719,0.64451532,NP_000166.2,GPI,2,2,2,NP_000166.2|NP_001171651.1|NP_001276718.1|NP_001276719.1|NP_001316840.1,HOMO SAPIENS,3.4,365,365.1,28.14,28.14,1.13E+08, glucose-6-phosphate isomerase isoform 2 GN=GPI
NP_001307956.1,0.2354190781,10.1262128,0.722257559,0.09713566548,-1.057673352,-0.006387727,0.177938719,0.20251532,NP_001307956.1,AKR1C2,3,3,3,NP_001307956.1|NP_001344.2|NP_001345.1|NP_001240837.1|NP_001809.3|NP_003730.4|NP_001128713.1|NP_001240838.1,HOMO SAPIENS,7.7,454,454.1,22.63,22.63,6.94E+07, aldo-keto reductase family 1 member C2 isoform 3 GN=AKR1C2
NP_000963.1,0.1867664879,11.66752095,0.715757559,0.06811580672,0.118326648,-0.116387727,0.810938719,0.62251532,NP_000963.1,RPL7A,4,3,3,NP_000963.1,HOMO SAPIENS,10.5,253,253.1,40.8,40.8,5.95E+07, 60S ribosomal protein L7a GN=RPL7A
NP_001958.2,0.2698884112,9.075335023,0.709257559,0.123727574,-1.365673352,-0.156387727,0.034938719,-0.13848468,NP_001958.2,EIF4A2,4,11,3,NP_001958.2,HOMO SAPIENS,25,53,53.2,140.59,40.61,4.25E+08, eukaryotic initiation factor 4A-II GN=EIF4A2
NP_036611.2,0.2060149044,11.09669294,0.692757559,0.07768384377,-0.149673352,-0.013387727,0.775938719,0.44651532,NP_036611.2,YWHAG,4,3,3,NP_036611.2,HOMO SAPIENS,12.5,228,228.1,45.22,45.22,1.64E+08, 14-3-3 protein gamma GN=YWHAG
NP_001274739.1,0.3230210564,7.819563734,0.689257559,0.1652127753,-1.494673352,-0.172387727,-0.347061281,0.05851532,NP_001274739.1,CYFIP1,2,2,2,NP_001274739.1|NP_001311048.1|NP_001311053.1|NP_001311054.1|NP_001311055.1|NP_001028200.1|NP_001032410.1|NP_001278650.1|NP_001278651.1|NP_001311051.1,HOMO SAPIENS,1.9,381,381.1,27.07,27.07,1.72E+06, cytoplasmic FMR1-interacting protein 1 isoform a GN=CYFIP1
NP_073587.1,0.2124076706,10.81368675,0.688757559,0.08291466012,-0.122673352,-0.233387727,0.746938719,0.27451532,NP_073587.1,PARP12,5,4,4,NP_073587.1,HOMO SAPIENS,7.7,165,165.1,61.81,61.81,1.06E+08, poly [ADP-ribose] polymerase 12 GN=PARP12
NP_001278795.1,0.2425912924,9.827358903,0.682757559,0.104055277,-0.731673352,0.124612273,0.486938719,0.27151532,NP_001278795.1,GALNT2,3,2,2,NP_001278795.1|NP_004472.1,HOMO SAPIENS,3.5,379,379.1,27.22,27.22,2.90E+07, polypeptide N-acetylgalactosaminyltransferase 2 isoform 2 GN=GALNT2
NP_006588.1,0.2275283046,10.34800023,0.665757559,0.09229963359,-0.205673352,0.247612273,0.756938719,0.61651532,NP_006588.1,HSPA8,25,18,13,NP_006588.1|NP_694881.1|NP_068814.2,HOMO SAPIENS,31.7,32,32.1,245.19,160.78,1.79E+09, heat shock cognate 71 kDa protein isoform 1 GN=HSPA8
NP_001646.2,0.2303994449,10.25007961,0.655257559,0.09440435707,0.235326648,0.027612273,0.952938719,0.62051532,NP_001646.2,ARCN1,5,5,5,NP_001646.2|NP_001135753.1,HOMO SAPIENS,9,157,157.1,62.95,62.95,1.90E+08, coatomer subunit delta isoform 1 GN=ARCN1
NP_001155901.1,0.2376694209,10.05483077,0.652257559,0.09874541125,0.118326648,-0.245387727,0.746938719,0.43051532,NP_001155901.1,PDCD6IP,3,3,3,NP_001155901.1|NP_037506.2,HOMO SAPIENS,2.6,392,392.1,25.86,25.86,9.54E+07, programmed cell death 6-interacting protein isoform 2 GN=PDCD6IP
NP_006734.1,0.2355793428,10.10820374,0.651757559,0.0975392981,-0.190673352,0.127612273,0.467938719,0.77251532,NP_006734.1,RBM3,9,4,4,NP_006734.1,HOMO SAPIENS,27.3,203,203.1,50.1,50.1,5.29E+08, RNA-binding protein 3 GN=RBM3
NP_004172.2,0.2376694209,10.02332442,0.645257559,0.09946437497,-0.138673352,0.259612273,0.669938719,0.74151532,NP_004172.2,UCHL1,2,2,2,NP_004172.2|NP_000218.3|NP_001121189.2|NP_001121190.2|NP_001295071.1|NP_054767.3|NP_937762.2,HOMO SAPIENS,6.2,603,603.1,15.01,15.01,2.08E+08, ubiquitin carboxyl-terminal hydrolase isozyme L1 GN=UCHL1
NP_001146.2,0.2425912924,9.818589598,0.633257559,0.1042655984,-0.128673352,0.190612273,0.756938719,0.57151532,NP_001146.2,ANXA6,2,2,2,NP_001146.2|NP_001180473.1|NP_001350043.1,HOMO SAPIENS,2.6,489,489.1,20.77,20.77,1.64E+08, annexin A6 isoform 1 GN=ANXA6
NP_001350660.1,0.2460941873,9.727471237,0.627757559,0.1064762816,-0.388673352,-0.100387727,0.481938719,0.28451532,NP_001350660.1,TM9SF4,2,2,2,NP_001350660.1|NP_055557.2,HOMO SAPIENS,2.5,472,472.1,21.65,21.65,6.05E+07, transmembrane 9 superfamily member 4 isoform 2 GN=TM9SF4
NP_001120792.1,0.2424089146,9.854907594,0.626257559,0.1033973101,0.005326648,0.058612273,0.735938719,0.58051532,NP_001120792.1,UBAP2L,3,3,3,NP_001120792.1|NP_001274744.1|NP_001274745.1|NP_001317659.1|NP_055662.3,HOMO SAPIENS,2.8,348,348.1,29.12,29.12,3.42E+07, ubiquitin-associated protein 2-like isoform b GN=UBAP2L
NP_000980.1,0.2478271256,9.682639543,0.626257559,0.1075811161,-0.137673352,0.114612273,0.743938719,0.48551532,NP_000980.1,RPL30,2,2,2,NP_000980.1,HOMO SAPIENS,12.1,471,471.1,21.65,21.65,2.62E+07, 60S ribosomal protein L30 GN=RPL30
NP_001157289.1,0.2493153205,9.613850294,0.625257559,0.1092986935,-0.463673352,-0.162387727,0.443938719,0.18051532,NP_001157289.1,DHCR7,7,4,4,NP_001157289.1,HOMO SAPIENS,7.7,158,158.1,62.88,62.88,1.81E+09, 7-dehydrocholesterol reductase GN=DHCR7
NP_000987.2,0.2961641509,8.408440172,0.622757559,0.14426334,-0.536673352,0.142612273,0.054938719,0.79651532,NP_000987.2,RPL35A,3,3,3,NP_000987.2,HOMO SAPIENS,18.1,411,411.1,25.08,25.08,1.83E+08, 60S ribosomal protein L35a GN=RPL35A
NP_003741.1,0.2492223653,9.643948255,0.615757559,0.1085438382,-0.351673352,-0.268387727,0.246938719,0.36451532,NP_003741.1,EIF3A,13,12,12,NP_003741.1,HOMO SAPIENS,7.4,96,96.1,112.77,112.77,4.46E+08, eukaryotic translation initiation factor 3 subunit A GN=EIF3A
NP_001419.1,0.285827953,8.713802931,0.603257559,0.1344682358,-0.340673352,0.157612273,0.748938719,0.27451532,NP_001419.1,ENO1,19,12,12,NP_001419.1|NP_001340275.1|NP_001188412.1|NP_001180432.1|NP_001967.3|NP_001966.1,HOMO SAPIENS,24.6,71,71.1,143.7,143.7,1.09E+09, alpha-enolase isoform 1 GN=ENO1
NP_006182.2,0.2698884112,9.075212076,0.597757559,0.1237310768,-0.196673352,0.041612273,0.667938719,0.37251532,NP_006182.2,PA2G4,6,5,5,NP_006182.2,HOMO SAPIENS,14.4,176,176.1,58.28,58.28,4.55E+07, proliferation-associated protein 2G4 GN=PA2G4
NP_006187.2,0.2909107286,8.55051801,0.596757559,0.1396201818,0.349326648,-0.207387727,0.886938719,0.44851532,NP_006187.2,PCBP1,6,8,3,NP_006187.2,HOMO SAPIENS,24.4,52,52.2,136.44,55.13,3.25E+09, poly(rC)-binding protein 1 GN=PCBP1
NP_004658.3,0.2767996061,8.924874325,0.593257559,0.128089216,-0.707673352,-0.279387727,0.105938719,0.09351532,NP_004658.3,HERC2,2,2,2,NP_004658.3,HOMO SAPIENS,0.6,607,607.1,14.93,14.93,1.28E+07, E3 ubiquitin-protein ligase HERC2 GN=HERC2
NP_004085.1,0.2806789091,8.824280427,0.582257559,0.1310907226,0.364326648,0.056612273,0.833938719,0.75151532,NP_004085.1,EIF2S1,2,2,2,NP_004085.1,HOMO SAPIENS,6,355,355.1,28.77,28.77,3.60E+07, eukaryotic translation initiation factor 2 subunit 1 GN=EIF2S1
NP_005605.1,0.2909107286,8.574038243,0.579257559,0.1388660799,-0.032673352,-0.249387727,0.653938719,0.22251532,NP_005605.1,RHEB,3,3,3,NP_005605.1,HOMO SAPIENS,14.1,344,344.1,29.63,29.63,2.68E+07, GTP-binding protein Rheb GN=RHEB
NP_001147.1,0.3014593422,8.258481602,0.576257559,0.1493316418,-0.413673352,0.237612273,0.475938719,0.50051532,NP_001147.1,ANXA7,2,2,2,NP_001147.1|NP_001307808.1|NP_001307809.1|NP_004025.1,HOMO SAPIENS,4,342,342.1,29.72,29.72,4.65E+07, annexin A7 isoform 1 GN=ANXA7
NP_002645.3,0.3091625925,8.108430552,0.565757559,0.1545812963,-0.122673352,-0.035387727,0.793938719,0.17951532,NP_002645.3,PKM,37,20,20,NP_002645.3|NP_001193725.1|NP_001193728.1|NP_001303247.1|NP_872270.1|NP_001193727.1|NP_001193726.1|NP_000289.1|NP_870986.1,HOMO SAPIENS,40.3,27,27.1,307.87,307.87,4.31E+09, pyruvate kinase PKM isoform a GN=PKM
NP_001124151.1,0.2909637928,8.53677196,0.565757559,0.1400628,-0.042673352,-0.210387727,0.336938719,0.54151532,NP_001124151.1,EIF4E,2,2,2,NP_001124151.1|NP_001959.1,HOMO SAPIENS,11.2,415,415.1,24.88,24.88,1.74E+07, eukaryotic translation initiation factor 4E isoform 2 GN=EIF4E
NP_001269091.1,0.2958039148,8.437003192,0.559757559,0.1433176508,-0.073673352,0.061612273,0.649938719,0.45751532,NP_001269091.1,CAPZB,2,2,2,NP_001269091.1|NP_004921.1|NP_001193469.1|NP_001193470.1,HOMO SAPIENS,7.3,595,595.1,15.29,15.29,1.97E+07, F-actin-capping protein subunit beta isoform 4 GN=CAPZB
NP_003744.1,0.3376218668,7.495770371,0.553757559,0.1780012134,0.132326648,-0.551387727,0.593938719,0.09451532,NP_003744.1,EIF3D,2,2,2,NP_003744.1,HOMO SAPIENS,3.1,372,372.1,27.86,27.86,3.34E+07, eukaryotic translation initiation factor 3 subunit D GN=EIF3D
NP_006538.2,0.3200527436,7.881261329,0.552257559,0.1628822902,0.286326648,-0.223387727,0.742938719,0.42451532,NP_006538.2,IGF2BP3,19,17,15,NP_006538.2,HOMO SAPIENS,31.6,30,30.2,199.35,180.84,7.37E+08, insulin-like growth factor 2 mRNA-binding protein 3 GN=IGF2BP3
NP_004896.1,0.3200527436,7.889163849,0.549257559,0.1625861754,-0.306673352,0.072612273,0.228938719,0.63551532,NP_004896.1,PRDX6,2,2,2,NP_004896.1,HOMO SAPIENS,6.2,448,448.1,23.07,23.07,2.80E+07, peroxiredoxin-6 GN=PRDX6
